"X","ID","ID1","LATITUD","LONGITUD","COS_0.30","DA_0.30","COSkgm2","DEM","AnalyticalHillshading","Slope","Aspect","CrossSectionalCurvature","LongitudinalCurvature","CovergenceIndex","ClosedDepressions","FlowAccumulation","TopographicWetnessIndex","LSFactor","ChannelNetworkBaseLevel","VerticalDistanceToChannelNetwork","ValleyDepth","RelativeSlopePosition","DEMSRE3a","etmnts3a","evmmod3a","evsmod3a","g01igb3a","g02esa3a","g02igb3a","g03esa3a","g04esa3a","g04igb3a","g05esa3a","g06esa3a","g07esa3a","g10igb3a","g11esa3a","g11igb3a","g12igb3a","g13esa3a","g18esa3a","g21esa3a","gacgem3a","gachws3a","garhws3a","gchhws3a","gcmhws3a","geaisg3a","gflhws3a","gfrhws3a","gglhws3a","glcesa3a","glcjrc3a","glphws3a","glvhws3a","glwwwf3a","glxhws3a","gnthws3a","gplhws3a","grghws3a","gschws3a","gsnhws3a","gsthws3a","gvrhws3a","iflgre3a","inmsre3a","inssre3a","l02igb3a","l03igb3a","l04igb3a","l05igb3a","l06igb3a","l07igb3a","l08igb3a","l09igb3a","l10igb3a","l11igb3a","l12igb3a","l13igb3a","l14igb3a","l3pobi3b","lammod3a","lasmod3a","opisre3a","px1wcl3a","px2wcl3a","px3wcl3a","px4wcl3a","SLPSRT3a","smkisr3a","tdhmod3a","tdlmod3a","tdmmod3a","tdsmod3a","tnhmod3a","tnlmod3a","tnmmod3a","tnsmod3a","twisre3a","tx1mod3a","tx2mod3a","tx3mod3a","tx4mod3a","tx5mod3a","tx6mod3a","wmkmod3a"
1611,"Pri-1913","Pri-1913",-21.9265,-61.0645,7.8,1.5393168,3.602001312,190.6111114,1.006003737,1.26161778,0.038318958,534.5597534,1345.420776,0.525034666,0.22322394,0.009822085,-0.818525076,9.348460197,189.3424377,1.491897583,3.657287598,0.289734691,191,1758,3291,788,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,796,0,15,0,40,72,0,0,0,50,12,0,0,0,0,0,0,30,0,15,0,0,0,34,20.85974693,0,0,100,0,0,0,0,0,0,0,0,0,0,7,15,9,1570,93,88,21,24,0,1,40,15,30,6,30,8,21,5,143,33,30,25,25,32,35,0
1236,"Pri-1567","Pri-1567",-25.663,-55.1155,18.8,1.4255328,8.040004992,236.5277806,2.286931753,1.569864869,2.736294031,13940.60156,-39569.07031,7.165111542,5.67e-06,8.63e-05,-12.08421898,3.362639189,206.0799713,30.44781494,145.242218,0.17330417,239,8129,4265,1131,12,0,12,50,50,12,0,0,0,12,0,12,12,0,0,0,408,50,0,0,0,37,0,0,15,30,16,0,0,0,35,0,0,0,0,0,0,0,0,34,20.94010925,0,0,0,0,0,0,0,0,0,0,100,0,0,7,20,12,1567,152,131,111,118,3,1,38,10,27,6,22,4,15,5,114,30,30,24,20,26,33,0
2786,"Pri-56","Pri-56",-25.6486,-54.7403,18.97783712,1.423693253,8.105585598,223.9166966,1.729290962,1.569506049,1.010833263,-30730.85547,66541.45313,-12.36306953,5.68e-06,0.000255695,-10.43966579,4.377439022,183.7591095,40.15759277,140.9595947,0.221721604,218,8117,4014,992,14,0,14,50,0,14,0,0,0,14,0,14,14,50,0,0,350,0,0,0,0,37,0,15,0,130,13,15,0,0,0,70,0,0,0,0,0,0,0,34,20.92868614,0,0,0,0,0,0,0,0,0,0,0,0,100,7,20,13,1566,156,141,121,131,2,1,40,11,28,6,22,2,16,4,113,31,31,25,20,27,34,0
1158,"Pri-1492","Pri-1492",-24.4802,-58.16,7.8,1.5393168,3.602001312,86.8055554,1.367606878,1.544516325,0.502838492,6571.086426,2764.216064,28.76881599,1.86e-06,0.000100471,-8.779889107,3.33720994,84.40583038,2.399726868,116.901123,0.020114919,86,3228,4080,701,4,0,4,0,0,4,0,100,0,8,0,8,8,0,0,0,437,0,0,0,0,72,0,0,0,50,15,0,25,0,0,0,15,0,0,40,0,20,0,34,20.73298836,0,0,60,0,0,0,40,0,0,0,0,0,0,1,24,13,1570,111,112,60,58,0,1,35,15,26,5,24,4,18,5,139,30,28,24,21,28,28,0
1752,"Pri-204","Pri-204",-25.4167,-56.4811,8.278859625,1.534363476,3.81083395,163.9999921,0.834817052,1.56800127,5.176032066,65136.50781,31690.83789,11.0859642,-7.35e-06,0.000115344,-10.95167923,3.385351181,106.0662918,57.93369293,166.8891602,0.257685959,170,7773,4680,538,9,0,9,25,50,9,25,0,0,9,0,9,9,0,0,0,140,0,0,0,0,6,0,0,0,30,17,0,0,0,0,0,60,40,0,0,0,0,0,34,20.78142548,0,0,0,0,0,0,0,100,0,0,0,0,0,7,24,8,1569,153,136,99,112,1,1,39,13,26,5,24,5,18,4,130,32,28,24,20,25,29,0
2133,"Pri-2440","Pri-2440",-21.7347,-62.3203,10,1.51656,4.54968,268.2777741,2.288467407,1.56409657,2.727902412,-1762.546021,-3009.915039,-1.924402952,-3.09e-06,0.000438707,-8.484657288,4.655231953,259.4098511,8.867919922,3.543457031,0.714499295,268,1651,2807,816,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,471,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,1,34,20.95689392,0,0,100,0,0,0,0,0,0,0,0,0,0,7,12,8,1570,79,76,11,15,0,1,41,16,30,6,30,4,20,6,146,34,30,24,25,32,37,0
2380,"Pri-2731","Pri-2731",-23.7097,-60.4597,9,1.526904,4.1226408,147.5000005,2.091406584,1.556163192,1.570796371,11566.58691,5481.118652,20.80947113,-5.21e-07,7.79e-05,-9.966526031,2.960189342,142.9311676,4.568832397,43.97235107,0.094122805,148,4885,3468,721,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,818,0,0,0,20,72,15,0,0,50,2,0,0,0,0,0,0,15,0,50,0,0,0,34,20.76249695,0,0,100,0,0,0,0,0,0,0,0,0,0,4,13,7,1570,78,75,23,28,0,1,36,14,28,5,26,3,19,5,139,33,28,24,22,28,32,0
125,"Oci-217","Oci-217",-19.617222,-59.578333,5.764347826,1.560373586,2.698360827,126.2777766,2.352864981,1.559016347,2.383962154,841.4711304,2441.683105,-0.54708147,2.03e-06,0.005276227,-5.201093197,8.018659592,124.9852295,1.292549133,50.95263672,0.024740063,126,6940,4385,1224,4,0,4,0,0,4,100,0,0,8,0,8,8,0,0,0,738,0,30,0,15,72,0,0,0,40,1,0,0,0,0,0,0,40,0,15,0,0,0,34,20.73390007,0,0,60,0,0,0,40,0,0,0,0,0,0,4,23,13,1570,115,118,25,44,0,1,36,20,29,4,26,13,21,3,141,29,26,25,27,32,32,0
449,"Ori-305","Ori-305",-26.660833,-55.147222,12.09918275,1.494846054,5.425924677,266.6111674,1.900162578,1.570083857,1.260687947,96888.47656,28215.03906,30.52373314,8.16e-06,0.000120682,-11.32328892,4.130980968,161.9880829,104.6230927,60.28533936,0.634431422,268,11799,4452,1089,12,0,14,25,75,12,0,0,0,12,0,12,12,0,0,0,275,0,0,0,0,37,0,15,0,30,17,15,0,0,0,70,0,0,0,0,0,0,0,34,20.99671364,0,0,0,0,0,0,0,0,0,0,80,0,20,7,46,15,1568,142,133,127,124,4,1,43,14,28,6,22,2,16,5,116,32,29,24,20,24,35,0
2589,"Pri-380","Pri-380",-23.9211,-56.7298,9.4,1.5227664,4.294201248,106.0000557,1.633289933,1.570223331,0.873979032,-39540.09766,5802.182617,-11.43422604,-2.3e-06,0.000163672,-12.11781311,3.680992126,96.17341614,9.826637268,135.6431885,0.067551032,104,11201,4596,555,8,25,8,25,25,8,25,0,0,8,0,8,8,0,0,0,278,0,20,0,0,72,0,0,50,30,15,0,0,4,0,0,30,0,0,0,0,0,0,33,20.91557503,0,0,0,0,0,0,100,0,0,0,0,0,0,7,55,10,1560,157,124,80,92,4,1,37,13,27,5,23,5,18,5,129,31,27,24,22,27,29,0
