ID,ID1,LATITUD,LONGITUD,COS_0.30,DA_0.30,COSkgm2,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,evsmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g07esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g13esa3a,g18esa3a,g21esa3a,gacgem3a,gachws3a,garhws3a,gchhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gnthws3a,gplhws3a,grghws3a,gschws3a,gsnhws3a,gsthws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l03igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,ln1dms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a
Oci-101,Oci-101,-22.059722,-61.554444,7.094906905,1.546610283,3.29,217.0555583,1.735137105,1.563977003,1.020635128,8703.669922,316.1054382,15.5231657,-1.04E-06,0.000181613,-9.348921776,3.902431726,212.7785492,4.277008057,1.624267578,0.724759936,217,1613,3067,865,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,580,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.92868614,0,0,100,0,0,0,0,0,0,0,0,0,0,7,13,2,1570,84,81,16,19,0,1,39,15,30,6,30,7,21,5,144,33,31,23,25,32,36,0
Oci-102,Oci-102,-22.369444,-62.221944,14.81625258,1.466740683,6.52,238.6944435,2.343840837,1.559123755,2.218191862,-2874.677246,-1543.145142,-4.591972828,-7.29E-07,0.000409879,-8.185651779,4.422447205,237.8355865,0.858856201,6.446166992,0.117570631,239,3707,3124,898,4,25,4,25,0,4,0,0,0,4,0,4,4,50,0,0,288,0,15,0,40,72,0,0,0,130,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.96166229,0,0,100,0,0,0,0,0,0,0,0,0,0,7,11,2,1570,79,65,8,16,0,1,46,16,31,7,30,4,20,5,144,35,30,26,24,32,37,0
Oci-104,Oci-104,-22.4825,-61.673611,14.18934312,1.473225435,6.27,214.5555504,2.180385113,1.566240072,2.981439114,-1324.179565,-2926.650635,0.40642342,6.81E-06,0.000120853,-10.41637421,3.417057037,210.776886,3.778671265,1.737731934,0.684988201,215,1684,3064,891,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,377,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.93103409,0,0,100,0,0,0,0,0,0,0,0,0,0,7,13,2,1570,82,75,13,18,1,1,38,15,30,5,26,3,20,5,143,34,32,26,24,33,36,0
Oci-106,Oci-106,-22.344722,-62.197222,4.020695298,1.578409928,1.9,238.2499986,2.310404062,1.560399175,2.654690504,-6501.997559,-3401.078857,-8.232872009,1.39E-06,0.006105035,-5.412137032,7.88181591,237.4534302,0.796569824,6.709655762,0.10612122,238,1694,3310,867,4,0,4,75,0,4,25,0,0,4,0,4,4,0,0,0,321,0,15,0,40,72,0,0,0,20,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.96166229,0,0,100,0,0,0,0,0,0,0,0,0,0,7,15,2,1570,79,66,9,16,0,1,44,16,31,6,30,4,20,5,144,34,30,26,24,32,36,0
Oci-109,Oci-109,-22.425278,-62.254167,2.868536651,1.590327857,1.37,242.666666,2.181750298,1.560932755,1.735940576,4502.554688,464.1444092,5.504089355,5.76E-06,0.000146267,-9.453141212,3.549837589,239.7715454,2.895126343,1.655395508,0.636218548,243,1392,2914,667,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,384,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.96166229,0,0,100,0,0,0,0,0,0,0,0,0,0,7,13,2,1570,78,62,8,16,0,1,41,15,30,6,30,6,20,5,143,35,30,24,24,32,35,0
Oci-110,Oci-110,-22.471944,-62.181389,13.37518763,1.481647059,5.95,234.7222214,1.997766495,1.547991514,3.294248343,942.8104858,-55.99406052,3.064043999,7.61E-06,0.00016499,-7.890970707,4.101727962,233.6854858,1.036743164,4.991210938,0.171989232,234,3487,3122,811,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,650,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.96166229,0,0,100,0,0,0,0,0,0,0,0,0,0,7,11,2,1570,75,58,7,17,0,1,43,15,29,6,27,4,19,5,143,33,29,24,24,31,35,0
Oci-12,Oci-12,-22.946833,-60.564,9.2,1.5248352,4.21,154.9999997,2.342137337,1.557035923,2.209711552,-1346.148438,214.1171265,-3.472011089,2.50E-07,0.0002652,-8.268229485,4.209015846,153.9014587,1.09854126,30.09136963,0.035221044,155,1716,3425,608,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,820,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.80910683,0,0,100,0,0,0,0,0,0,0,0,0,0,4,17,2,1570,83,77,22,27,0,1,37,16,29,5,26,5,20,5,140,33,29,25,23,31,35,0
Oci-127,Oci-127,-21.505417,-61.653194,5.654009434,1.561514926,2.65,230.0555554,2.184731722,1.556021929,1.744040012,-1681.166504,2012.074707,-4.241076469,1.87E-06,0.1134165,-1.792209744,15.15290165,230.0555573,0,11.71569824,0,230,1721,3364,853,4,0,4,0,0,4,0,75,0,4,0,4,4,25,0,0,425,0,15,0,40,72,0,0,0,50,2,0,0,0,0,0,0,30,0,15,0,0,0,34,20.97979355,0,0,100,0,0,0,0,0,0,0,0,0,0,7,14,2,1570,79,79,20,18,0,1,43,19,31,6,27,4,20,5,145,35,30,25,26,34,37,0
Oci-129,Oci-129,-21.079389,-60.6185,7.175698546,1.545774574,3.33,162.6944437,2.327799559,1.558077097,2.129393101,-2169.416748,-1169.548096,-5.032179356,-9.51E-07,0.010490527,-4.669177055,8.782799721,162.3184662,0.375976563,13.47241211,0.027149482,163,1758,3189,937,4,0,4,0,0,4,0,100,0,8,0,8,8,0,0,0,623,0,15,0,40,72,0,0,0,50,12,0,0,0,0,0,0,30,0,15,0,0,0,34,20.82840157,0,0,60,0,0,0,40,0,0,0,0,0,0,4,16,2,1570,85,81,24,28,0,1,43,20,31,6,28,7,21,4,142,33,28,26,27,34,37,0
Oci-13,Oci-13,-22.526333,-60.842333,13.6,1.4793216,6.04,170.9722222,2.037786961,1.544813752,1.48405695,1965.72644,3083.150635,4.777591705,6.77E-06,0.00559385,-4.236926079,8.298006058,169.027832,1.944396973,10.92510986,0.151085585,171,1736,3479,961,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,1153,0,15,0,40,72,0,0,0,50,12,0,0,0,0,0,0,30,0,15,0,0,0,34,20.85104561,0,0,100,0,0,0,0,0,0,0,0,0,0,4,16,2,1570,91,85,21,26,0,1,43,17,32,6,27,6,20,5,142,34,30,25,25,33,37,0
Oci-144,Oci-144,-24.643083,-58.174472,18.42806604,1.429380085,7.9,84.24999637,0.935977221,1.563967705,4.918709278,-400.1574402,-2669.862061,1.10897541,3.63E-06,8.09E-05,-10.56117344,3.061413765,80.80731201,3.442687988,121.199707,0.027620522,85,3840,4293,599,4,0,4,0,0,8,0,100,0,8,0,8,9,0,0,0,623,0,0,0,0,72,0,0,0,50,15,0,25,4,0,0,15,0,0,40,0,20,0,34,20.70670128,0,0,40,0,0,0,60,0,0,0,0,0,0,1,29,2,1570,110,114,58,56,0,1,37,15,26,5,24,4,18,5,139,31,28,24,21,26,29,0
Oci-167,Oci-167,-24.0535,-58.154222,17.87131498,1.435139118,7.69,89.11110489,1.435536623,1.565924168,4.117629051,-10879.52246,-1464.056885,-42.22049332,1.98E-06,7.98E-05,-10.69597244,3.1881814,85.9965744,3.114532471,109.9281006,0.027551839,90,4997,3943,675,9,0,9,0,0,9,0,0,0,9,0,9,8,100,0,0,191,0,0,0,0,72,0,0,0,130,15,0,25,0,0,0,15,0,0,40,0,20,0,34,20.72121239,0,0,0,0,0,0,0,100,0,0,0,0,0,1,19,2,1570,113,116,63,62,1,1,38,16,29,6,25,4,18,5,138,34,29,25,23,31,33,0
Oci-168,Oci-168,-24.045833,-58.088528,10.49788732,1.511409854,4.76,86.69444111,1.840353727,1.563966274,3.539010048,3840.649414,7856.933594,56.59264755,1.64E-06,0.000215994,-8.480830193,4.640878677,84.10012817,2.594314575,112.7316284,0.022495499,86,4841,3792,565,8,0,8,0,0,9,0,25,0,8,0,8,8,75,0,0,308,0,0,0,0,72,0,0,0,50,2,0,25,0,0,0,15,0,0,40,0,20,0,34,20.70670128,0,0,0,0,0,0,80,20,0,0,0,0,0,1,18,2,1569,115,116,64,63,0,1,38,12,27,6,25,3,18,5,138,32,28,24,21,29,32,0
Oci-170,Oci-170,-24.805528,-58.35525,44.90161162,1.245919809,16.78,84.61110803,1.016496897,1.563102126,4.763705254,-333.655365,974.8175049,-2.6416502,-1.16E-06,6.94E-05,-10.8827076,2.803005695,81.07424927,3.536857605,120.0064087,0.028628493,86,9222,4184,642,4,0,4,0,0,4,25,75,0,8,0,8,4,0,0,0,108,0,0,0,0,72,0,0,0,50,2,0,25,4,0,0,15,0,0,40,0,20,0,34,20.70670128,0,0,60,0,0,0,40,0,0,0,0,0,0,1,50,2,1570,111,116,61,60,0,1,37,15,27,5,24,4,18,5,140,32,27,24,22,28,30,0
Oci-181,Oci-181,-20.078611,-61.368889,15.13408105,1.463453066,6.64,330.2500087,2.003582954,1.569301963,1.420796156,21980.0625,26350.11328,6.127351761,-8.71E-06,0.000131454,-11.19021416,3.65825057,273.0898438,57.16015625,0.638519287,0.988952696,331,5896,3836,946,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,551,0,0,0,70,72,0,0,0,50,12,30,0,0,0,0,0,0,0,0,0,0,0,34,21.01800728,0,0,100,0,0,0,0,0,0,0,0,0,0,7,15,2,1570,61,59,17,20,2,1,36,20,29,5,27,4,21,4,134,31,28,25,26,32,33,0
Oci-197,Oci-197,-19.765,-60.858056,15.92204242,1.455302393,6.95,247.5277643,2.340353012,1.569653749,2.178871393,18315.08203,21601.32422,3.89169693,6.70E-06,0.00013955,-11.58708954,3.565461159,221.2030334,26.32473755,6.44543457,0.803313971,247,4082,3522,1108,8,0,8,0,0,4,0,100,0,8,0,8,8,0,0,0,679,0,0,0,70,72,0,0,0,50,12,0,0,0,0,0,0,15,0,15,0,0,0,34,20.9341507,0,0,20,0,0,0,80,0,0,0,0,0,0,7,16,2,1570,72,66,20,27,2,1,38,18,30,5,28,15,22,3,133,31,28,26,26,34,32,0
Oci-203,Oci-203,-19.728889,-60.930833,22.74620579,1.384713247,9.45,262.2500177,1.489805579,1.568862796,0.671220541,62384.57422,10744.81934,43.19968033,1.28E-05,0.000106655,-11.14162922,3.508439779,233.3343964,28.91563416,7.557312012,0.792796791,262,4444,3545,906,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,780,0,0,0,70,72,0,0,0,50,2,0,0,0,0,0,0,15,0,15,0,0,0,34,20.99420357,0,0,100,0,0,0,0,0,0,0,0,0,0,7,16,2,1570,71,64,20,27,1,1,38,24,30,4,27,14,21,3,134,31,28,26,27,33,33,0
